ISSUED,OFFICERBADGE,LOCATIONDESC1,LOCATIONDESC2
2017-11-21 15:06:00,FA42,00 MARSH AVENUE,"(35.7934826, -78.71785969999999)"
2017-10-09 07:25:00,FA36,100 SOUTH HARRINGTON,"(35.7796747, -78.6453259)"
2017-10-09 07:27:00,FA36,100 SOUTH HARRINGTON,"(35.7796747, -78.6453259)"
2017-11-21 15:57:00,FA22,200 S MCDOWELL ST 25,"(35.777722, -78.642673)"
2017-10-05 11:36:00,FA27,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-05 11:37:00,FA41,2400 HILLSBOROUGH ST,"(35.7877521, -78.6670422)"
2017-11-21 17:13:00,FA27,400 WEST JONES ST,"(35.7827594, -78.64489669999999)"
2017-11-21 17:18:00,FA27,400 WEST JONES ST,"(35.7827594, -78.64489669999999)"
2017-11-21 17:26:00,FA27,00 SOUTH HARRINGTON,"(35.7805972, -78.6450083)"
2017-10-05 11:23:00,FA27,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-05 11:29:00,FA27,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-05 11:30:00,FA26,CITY MARKET LOT,"(0.0, 0.0)"
2017-10-05 11:30:00,FA41,2400 HILLSBOROUGH ST,"(35.7877521, -78.6670422)"
2017-10-05 11:31:00,FA27,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-16 09:32:00,FA26,600 PRICE ST,"(35.7792625, -78.6714847)"
2017-10-09 07:35:00,FA36,500 WEST HARGETT ST,"(35.7785073, -78.6460688)"
2017-10-05 11:37:00,FA42,500 NORTH PERSON,"(35.7860198, -78.6345182)"
2017-10-05 15:05:00,FA43,200 W HARGETT ST 123,"(35.77834989999999, -78.641823)"
2017-11-21 17:42:00,FA27,100 SOUTH HARRINGTON,"(35.7796747, -78.6453259)"
2017-10-09 09:16:00,FA41,300 BLAKE ST,"(35.7758672, -78.6362831)"
2017-10-09 09:20:00,FA41,300 BLAKE ST,"(35.7758672, -78.6362831)"
2017-10-10 09:34:00,FA41,100 E MORGAN ST 114,"(35.7788918, -78.6192165)"
2017-10-10 09:38:00,FA27,2400 KILGORE AVE,"(35.7928533, -78.6654339)"
2017-10-10 09:30:00,FA43,600 ROSEMONT AVE,"(35.7926935, -78.6662861)"
2017-10-10 09:35:00,FA39,0 GLENWOOD AVE 204,"(35.7836246, -78.6471564)"
2017-10-12 10:04:00,FA40,100 S SALISBURY ST 2,"(35.7796228, -78.6401087)"
2017-10-12 10:05:00,FA39,222-298 GLENWOOD,"(35.7836251, -78.64714479999999)"
2017-10-12 10:12:00,FA41,100 S BLOUNT ST 168,"(35.7775226, -78.6366403)"
2017-10-12 10:13:00,FA40,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-10-12 10:17:00,FA40,200 S SALISBURY ST 2,"(35.7781779, -78.6404079)"
2017-11-21 15:55:00,FA43,0 W DAVIE ST 216,"(35.7757037, -78.6422504)"
2017-10-17 08:57:00,FA22,100 POLK ST 356,"(35.7860561, -78.6377972)"
2017-11-21 17:54:00,FA27,500 GLENWOOD AVE,"(35.786568, -78.64702)"
2017-10-25 08:01:00,FA26,200 EAST POLK ST,"(35.7860301, -78.6361198)"
2017-11-21 15:11:00,FA43,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-11-21 15:16:00,FA36,100 NORTH SALISBURY,"(35.7820589, -78.6405724)"
2017-11-21 15:17:00,FA22,200 W HARGETT ST 129,"(35.77834989999999, -78.641823)"
2017-11-21 15:13:00,FA36,100 NORTH SALISBURY,"(35.7820589, -78.6405724)"
2017-11-21 15:17:00,FA42,100 LOGAN,"(35.7878167, -78.6657609)"
2017-11-21 15:17:00,FA43,0 E HARGETT ST 166,"(0.0, 0.0)"
2017-11-21 15:09:00,FA22,200 W HARGETT ST 126,"(35.77834989999999, -78.641823)"
2017-11-21 15:13:00,FA22,200 W HARGETT ST 130,"(35.77834989999999, -78.641823)"
2017-11-21 15:07:00,FA43,100 FAYETTEVILLE ST,"(35.778837, -78.639139)"
2017-11-21 15:08:00,FA36,100 NORTH SALISBURY,"(35.7820589, -78.6405724)"
2017-10-06 14:27:00,FA27,0 E HARGETT ST 168,"(35.77801669999999, -78.6366687)"
2017-11-21 16:34:00,FA27,100 SOUTH PERSON ST,"(35.7792937, -78.6353017)"
2017-11-21 16:47:00,FA27,500 GLENWOOD AVE,"(35.786568, -78.64702)"
2017-11-21 16:49:00,FA27,500 GLENWOOD AVE,"(35.786568, -78.64702)"
2017-11-21 16:11:00,FA43,0 W MARTIN ST 502,"(35.7771591, -78.6473474)"
2017-10-10 19:56:00,FA36,100 EAST MARTIN ST,"(35.7768968, -78.63828629999999)"
2017-11-21 19:19:00,FA27,700 WEST TUCKER ST,"(0.0, 0.0)"
2017-11-21 19:29:00,FA27,600 WEST NORTH ST,"(35.7849055, -78.6473714)"
2017-11-21 17:40:00,FA27,100 SOUTH HARRINGTON,"(35.7796747, -78.6453259)"
2017-10-20 19:43:00,S16,500 PYLON STREET,"(35.7949236, -78.7014153)"
2017-10-20 19:47:00,S16,500 PYLON STREET,"(35.7949236, -78.7014153)"
2017-11-21 16:01:00,000,200 SOUTH BLOUNT ST,"(35.7780305, -78.63690369999999)"
2017-11-21 16:02:00,000,200 SOUTH BLOUNT ST,"(35.7780305, -78.63690369999999)"
2017-10-10 19:48:00,FA36,200 SOUTH BLOUNT ST,"(35.7780305, -78.63690369999999)"
2017-11-21 18:47:00,FA27,500 WEST NORTH ST,"(35.7848583, -78.6457267)"
2017-11-21 19:12:00,FA27,600 WEST TUCKER ST,"(35.7865648, -78.6477048)"
2017-11-21 18:46:00,S16,300 GLENWOOD AVE,"(35.784294, -78.647143)"
2017-10-10 19:51:00,FA36,200 SOUTH BLOUNT ST,"(35.7780305, -78.63690369999999)"
2017-11-21 15:25:00,FA22,200 W HARGETT ST 108,"(35.77834989999999, -78.641823)"
2017-11-21 15:43:00,FA42,2500 VANDERBILT AVE,"(35.7887286, -78.6676777)"
2017-11-21 15:41:00,FA43,0 E MARTIN ST 194,"(35.7768375, -78.63668150000001)"
2017-11-21 15:26:00,FA36,00 NORTH SALISBURY S,"(35.7701724, -78.6399264)"
2017-11-21 15:24:00,FA43,200 FAYETTEVILLE ST,"(35.77806700000001, -78.6394545)"
2017-11-21 15:25:00,FA42,200 CHAMBERLAIN ST,"(35.7885526, -78.6660042)"
2017-11-21 15:47:00,FA22,200 S MCDOWELL ST 25,"(35.777722, -78.642673)"
2017-10-06 15:10:00,FA41,300 W MARTIN ST,"(35.7770679, -78.64353229999999)"
2017-10-06 15:07:00,FA43,CABARRUS DECK,"(35.7745549, -78.64087219999999)"
2017-11-21 16:01:00,FA43,400 FAYETTEVILLE ST,"(35.7754545, -78.63968779999999)"
2017-10-18 08:20:00,FA22,0 E MARTIN ST 195,"(35.7768377, -78.6366865)"
2017-10-02 11:00:00,FA40,200 SOUTH SALISBURY,"(35.7781779, -78.6404079)"
2017-10-02 10:59:00,FA42,1205 UMSTEAD DR,"(35.77016130000001, -78.6565811)"
2017-10-02 11:06:00,FA40,200 S SALISBURY ST 3,"(35.7781779, -78.6404079)"
2017-10-03 09:32:00,FA40,500 FAYETTEVILLE ST,"(35.7734066, -78.640051)"
2017-11-21 20:13:00,FA27,300 WEST DAVIE ST,"(35.7757522, -78.6436338)"
2017-10-09 07:38:00,FA36,500 WEST HARGETT ST,"(35.7785073, -78.6460688)"
2017-11-22 08:05:00,FA40,100 NORTH BLOODWORTH,"(35.7811661, -78.6329362)"
2017-11-21 23:28:00,FA27,2500 CLARK AVE,"(35.789816, -78.666737)"
2017-11-21 19:03:00,FA27,600 WEST JOHNSON ST,"(35.7873309, -78.64723819999999)"
2017-10-09 12:47:00,FA40,0 W MARTIN ST 188,"(0.0, 0.0)"
2017-11-21 23:40:00,S16,100 GARDNER ST,"(35.7896712, -78.6704587)"
2017-10-09 09:26:00,FA41,200 S PERSON ST 241,"(35.7781217, -78.634935)"
2017-10-09 12:46:00,FA41,100 EAST MARTIN ST,"(35.7768968, -78.63828629999999)"
2017-11-21 23:40:00,FA27,100 GARDNER ST,"(35.7896712, -78.6704587)"
2017-10-09 12:42:00,FA40,0 E MARTIN ST 194,"(35.7768375, -78.63668150000001)"
2017-10-05 15:06:00,FA36,200 W HARGETT ST 127,"(35.77834989999999, -78.641823)"
2017-10-13 14:27:00,FA43,1900 HILLSBOROUGH ST,"(35.7860224, -78.66167850000001)"
2017-10-13 14:28:00,FA40,300 FAYETTEVILLE ST,"(35.7766639, -78.6397851)"
2017-11-21 16:45:00,FA27,500 GLENWOOD AVE,"(35.786568, -78.64702)"
2017-11-21 17:15:00,FA27,400 WEST JONES ST,"(35.7827594, -78.64489669999999)"
2017-10-09 07:17:00,FA36,300 SOUTH HARRINGTON,"(35.7771127, -78.64518509999999)"
2017-11-21 17:10:00,FA27,400 WEST JONES ST,"(35.7827594, -78.64489669999999)"
